run_id,model,provider,model_id,corpus_version,pipeline_hash,prompt_hash,item_id,item_axis,twin_of,field_ordinal,field,field_axis,field_correct,field_retrieval_hit,expected,got,case_correct,fields_correct,fields_total,item_retrieval_hit,reply_parsed,latency_ms,ttft_ms,tokens_in,tokens_out,tokens_reasoning,tokens_cached,cost_usd,retries,finish_reason,error
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-001,supersession,,0,current_value,supersession,false,true,150,,false,1,5,true,true,24,10,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-001,supersession,,1,value_on_date,asof,false,true,165,,false,1,5,true,true,24,10,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-001,supersession,,2,set_by,entities,false,true,priya raman,,false,1,5,true,true,24,10,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-001,supersession,,3,measurement_point,facts,false,true,amsterdam,,false,1,5,true,true,24,10,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-001,supersession,,4,p50_ms,abstain,true,,,,false,1,5,true,true,24,10,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-twin-001,asof,v2-case-001,0,value_on_date,asof,false,true,165,,false,0,1,true,true,9,6,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-002,supersession,,0,current_value,supersession,false,true,360,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-002,supersession,,1,value_on_date,asof,false,true,390,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-002,supersession,,2,set_by,entities,false,true,lukas fenn,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-002,supersession,,3,measurement_point,facts,false,true,sydney,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-003,supersession,,0,current_value,supersession,false,true,52,,false,1,5,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-003,supersession,,1,value_on_date,asof,false,true,64,,false,1,5,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-003,supersession,,2,set_by,entities,false,true,viktor novak,,false,1,5,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-003,supersession,,3,build_runner,facts,false,true,linux-8x,,false,1,5,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-003,supersession,,4,cache_hit_rate,abstain,true,,,,false,1,5,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-004,supersession,,0,current_value,supersession,false,true,20000,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-004,supersession,,1,value_on_date,asof,false,true,12000,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-004,supersession,,2,set_by,entities,false,true,aisha nkemelu,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-004,supersession,,3,storage_backend,facts,false,true,postgres,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-005,supersession,,0,current_value,supersession,false,true,2400,,false,1,5,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-005,supersession,,1,value_on_date,asof,false,true,1500,,false,1,5,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-005,supersession,,2,set_by,entities,false,true,priya raman,,false,1,5,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-005,supersession,,3,limit_scope,facts,false,true,per tenant,,false,1,5,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-005,supersession,,4,burst_limit,abstain,true,,,,false,1,5,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-twin-002,asof,v2-case-005,0,value_on_date,asof,false,true,1500,,false,0,1,true,true,7,6,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-006,supersession,,0,current_value,supersession,false,true,45,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-006,supersession,,1,value_on_date,asof,false,true,21,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
20260903-1856-null,null,mock,null,v2,f7bbdd5fe0812c4d,1c5c35327076c6b6,v2-case-006,supersession,,2,set_by,entities,false,true,nadia oyelaran,,false,0,4,true,true,8,5,0,0,0,0,0.000000,0,stop,
